,turns,winner
3518,111,White
3519,19,White
3521,13,White
3524,53,White
3526,135,White
3528,57,White
3529,19,White
3531,51,White
3532,33,White
3533,47,White
3534,31,White
3536,27,White
3538,127,White
3541,43,White
3543,21,White
3544,49,White
3546,45,White
3549,65,White
3551,75,White
3554,3,White
3556,35,White
3557,91,White
3560,35,White
3561,93,White
3562,40,White
3564,51,White
3570,33,White
3571,51,White
3572,71,White
3573,9,White
3575,43,White
3577,69,White
3578,83,White
3579,51,White
3580,41,White
3585,67,White
3586,23,White
3587,21,White
3588,61,White
3591,67,White
3592,79,White
3593,67,White
3594,45,White
3595,61,White
3596,94,White
3597,65,White
3598,83,White
3599,133,White
3601,47,White
3605,47,White
3606,123,White
3607,39,White
3609,53,White
3610,27,White
3611,27,White
3612,61,White
3613,123,White
3614,99,White
3615,17,White
3616,101,White
3618,45,White
3620,113,White
3622,23,White
3623,47,White
3624,54,White
3625,53,White
3626,43,White
3630,29,White
3635,83,White
3637,75,White
3638,43,White
3640,48,White
3646,65,White
3647,69,White
3648,25,White
3649,51,White
3650,99,White
3652,69,White
3654,99,White
3656,69,White
3664,25,White
3667,111,White
3668,45,White
3671,46,White
3674,47,White
3676,53,White
3679,61,White
3681,81,White
3682,119,White
3685,89,White
3686,35,White
3687,11,White
3689,43,White
3690,59,White
3691,41,White
3693,16,White
3696,61,White
3699,45,White
3703,39,White
3704,35,White
3707,19,White
3709,19,White
3712,25,White
3713,47,White
3717,51,White
3718,27,White
3723,125,White
3726,123,White
3729,55,White
3731,85,White
3735,85,White
3736,64,White
3737,39,White
3740,51,White
3741,21,White
3744,31,White
3746,35,White
3748,59,White
3749,25,White
3750,31,White
3751,15,White
3753,45,White
3754,13,White
3756,27,White
3757,9,White
3759,11,White
3761,56,White
3764,25,White
3765,29,White
3768,13,White
3770,49,White
3775,71,White
3777,27,White
3778,47,White
3779,44,White
3780,46,White
3781,111,White
3782,33,White
3783,57,White
3784,41,White
3786,89,White
3789,43,White
3790,44,White
3791,63,White
3793,54,White
3794,21,White
3795,43,White
3798,39,White
3800,57,White
3802,109,White
3804,11,White
3805,45,White
3810,61,White
3811,17,White
3813,31,White
3815,29,White
3816,85,White
3817,15,White
3819,59,White
3821,25,White
3824,85,White
3826,89,White
3827,51,White
3828,37,White
3831,59,White
3833,82,White
3835,41,White
3837,113,White
3838,59,White
3839,37,White
3840,101,White
3841,81,White
3843,15,White
3844,71,White
3845,32,White
3848,63,White
3849,59,White
3858,17,White
3859,42,White
3860,119,White
3865,101,White
3868,31,White
3869,2,White
3870,72,White
3873,87,White
3874,66,White
3875,59,White
3878,89,White
3879,5,White
3881,46,White
3882,35,White
3885,53,White
3890,85,White
3892,49,White
3896,5,White
3897,41,White
3898,53,White
3903,81,White
3906,35,White
3911,91,White
3913,61,White
3914,67,White
3915,79,White
3918,79,White
3919,35,White
3920,59,White
3921,83,White
3923,65,White
3924,67,White
3926,51,White
3931,115,White
3932,109,White
3934,57,White
3936,89,White
3939,33,White
3942,137,White
3944,81,White
3946,11,White
3947,17,White
3948,35,White
3949,43,White
3955,13,White
3957,61,White
3959,15,White
3960,44,White
3961,47,White
3965,33,White
3968,87,White
3971,59,White
3973,67,White
3974,93,White
3978,37,White
3981,13,White
3983,43,White
3985,79,White
3987,31,White
3988,101,White
3989,40,White
3990,46,White
3991,24,White
3993,51,White
3995,77,White
3997,65,White
4000,85,White
4001,35,White
4003,105,White
4009,41,White
4011,53,White
4012,27,White
4014,47,White
4015,33,White
4016,103,White
4019,73,White
4020,37,White
4021,23,White
4022,41,White
4023,29,White
4025,85,White
4026,29,White
4027,39,White
4028,39,White
4029,35,White
4031,21,White
4032,13,White
4033,79,White
4034,43,White
4036,78,White
4037,29,White
4039,47,White
4040,40,White
4041,85,White
4043,65,White
4046,91,White
4050,57,White
4052,45,White
4053,69,White
4054,25,White
4056,75,White
4059,37,White
4064,31,White
4065,85,White
4066,64,White
4067,9,White
4071,50,White
4072,37,White
4073,117,White
4076,59,White
4077,39,White
4081,63,White
4082,97,White
4083,51,White
4085,33,White
4086,79,White
4087,33,White
4088,11,White
4089,21,White
4090,17,White
4091,26,White
4092,29,White
4093,61,White
4095,59,White
4096,27,White
4098,17,White
4099,5,White
4100,47,White
4102,9,White
4104,53,White
4106,7,White
4107,4,White
4108,45,White
4110,57,White
4111,85,White
4113,28,White
4116,91,White
4119,7,White
4123,3,White
4124,3,White
4126,7,White
4127,41,White
4130,71,White
4132,33,White
4133,29,White
4135,89,White
4141,33,White
4145,67,White
4146,81,White
4147,57,White
4148,99,White
4151,38,White
4154,91,White
4155,37,White
4156,115,White
4157,47,White
4159,31,White
4160,53,White
4163,63,White
4169,59,White
4172,67,White
4174,91,White
4176,24,White
4179,103,White
4180,10,White
4184,13,White
4186,67,White
4188,57,White
4191,39,White
4192,9,White
4193,38,White
4195,41,White
4197,57,White
4199,31,White
4201,35,White
4202,73,White
4204,11,White
4207,81,White
4210,55,White
4211,81,White
4214,21,White
4215,27,White
4216,2,White
4218,35,White
4219,23,White
4229,41,White
4230,16,White
4231,21,White
4233,109,White
4241,75,White
4242,67,White
4247,39,White
4248,121,White
4250,27,White
4251,35,White
4252,45,White
4257,61,White
4259,19,White
4261,51,White
4262,115,White
4264,75,White
4270,77,White
4271,75,White
4276,31,White
4278,47,White
4279,33,White
4281,23,White
4282,77,White
4283,17,White
4287,26,White
4289,12,White
