,turns,winner
2740,16,Black
2744,64,Black
2745,86,Black
2746,36,Black
2748,38,Black
2749,70,Black
2753,19,Black
2757,46,Black
2758,40,Black
2760,32,Black
2762,96,Black
2763,52,Black
2765,58,Black
2766,48,Black
2767,72,Black
2768,104,Black
2770,55,Black
2771,38,Black
2772,68,Black
2774,32,Black
2777,52,Black
2779,72,Black
2781,50,Black
2783,104,Black
2786,80,Black
2787,56,Black
2788,6,Black
2795,24,Black
2796,122,Black
2797,58,Black
2798,68,Black
2799,66,Black
2800,58,Black
2802,38,Black
2804,74,Black
2805,56,Black
2807,54,Black
2809,62,Black
2810,42,Black
2813,28,Black
2815,56,Black
2816,16,Black
2817,66,Black
2821,58,Black
2822,34,Black
2826,46,Black
2827,78,Black
2831,22,Black
2834,10,Black
2836,44,Black
2839,38,Black
2841,84,Black
2847,66,Black
2848,58,Black
2850,88,Black
2852,62,Black
2853,95,Black
2854,96,Black
2855,94,Black
2859,80,Black
2860,57,Black
2861,42,Black
2863,114,Black
2864,36,Black
2870,10,Black
2872,54,Black
2873,62,Black
2874,34,Black
2876,90,Black
2878,10,Black
2880,22,Black
2881,22,Black
2883,78,Black
2885,102,Black
2890,40,Black
2891,60,Black
2893,82,Black
2895,62,Black
2899,60,Black
2901,48,Black
2902,22,Black
2903,42,Black
2906,72,Black
2907,90,Black
2910,80,Black
2911,54,Black
2912,72,Black
2913,38,Black
2914,62,Black
2916,50,Black
2921,18,Black
2922,46,Black
2927,26,Black
2930,48,Black
2931,32,Black
2934,40,Black
2935,29,Black
2936,93,Black
2938,80,Black
2940,18,Black
2944,114,Black
2945,46,Black
2946,28,Black
2950,38,Black
2952,32,Black
2955,72,Black
2959,49,Black
2964,40,Black
2966,56,Black
2968,46,Black
2969,60,Black
2971,60,Black
2972,52,Black
2975,36,Black
2976,54,Black
2977,42,Black
2978,30,Black
2979,70,Black
2982,64,Black
2984,56,Black
2985,42,Black
2989,34,Black
2991,54,Black
2992,134,Black
2993,86,Black
2994,30,Black
2997,34,Black
2999,84,Black
3000,56,Black
3002,30,Black
3003,21,Black
3004,98,Black
3005,70,Black
3006,82,Black
3007,74,Black
3011,88,Black
3012,60,Black
3015,68,Black
3016,40,Black
3018,56,Black
3021,46,Black
3023,66,Black
3024,26,Black
3027,32,Black
3029,41,Black
3030,50,Black
3036,22,Black
3037,106,Black
3039,124,Black
3040,60,Black
3041,88,Black
3044,28,Black
3046,64,Black
3047,127,Black
3048,114,Black
3049,43,Black
3054,40,Black
3055,114,Black
3056,70,Black
3058,51,Black
3059,93,Black
3062,42,Black
3065,100,Black
3068,54,Black
3069,36,Black
3070,63,Black
3073,50,Black
3078,42,Black
3079,48,Black
3081,66,Black
3083,61,Black
3084,78,Black
3085,38,Black
3090,78,Black
3091,40,Black
3095,78,Black
3103,88,Black
3104,140,Black
3106,76,Black
3110,64,Black
3111,72,Black
3112,67,Black
3114,39,Black
3117,66,Black
3120,56,Black
3121,122,Black
3122,87,Black
3123,84,Black
3126,48,Black
3127,25,Black
3131,83,Black
3134,78,Black
3136,54,Black
3138,136,Black
3140,42,Black
3144,42,Black
3145,138,Black
3147,74,Black
3148,107,Black
3149,62,Black
3158,56,Black
3160,82,Black
3162,64,Black
3164,70,Black
3167,56,Black
3168,42,Black
3171,78,Black
3175,72,Black
3176,56,Black
3177,76,Black
3180,98,Black
3183,36,Black
3185,56,Black
3187,72,Black
3188,44,Black
3194,38,Black
3195,30,Black
3196,84,Black
3198,62,Black
3199,46,Black
3201,38,Black
3205,104,Black
3206,44,Black
3208,36,Black
3212,52,Black
3213,100,Black
3214,38,Black
